full_journey,nb_parcours
SEO-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus,14
email_auto-email_auto-REFERRAL-REFERRAL-REFERRAL-REFERRAL,13
email_auto-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS,13
SEO-DIRECT_ACCESS-DIRECT_ACCESS,13
SEO-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-SEO,13
SEA_Google_M-SEA_Google_M-SEA_Google_M-SEA_Google_M-SEA_Google_M-SEA_Google_M,13
email_tactique,13
AD_EXCHANGE_appnexus-email_auto-DIRECT_ACCESS,12
AFFILIATION-REFERRAL-REFERRAL-REFERRAL-REFERRAL-REFERRAL-REFERRAL-REFERRAL-REFERRAL-REFERRAL,12
DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS,12
DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS,12
REFERRAL-REFERRAL-REFERRAL-REFERRAL-REFERRAL-REFERRAL,11
REFERRAL-REFERRAL-REFERRAL-REFERRAL,11
email_auto-DIRECT_ACCESS-DIRECT_ACCESS,11
DIRECT_ACCESS-email_auto-DIRECT_ACCESS,11
email_auto-email_auto-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS,11
email_auto-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS,11
AD_EXCHANGE_appnexus-SEO-AD_EXCHANGE_appnexus-SEO,11
AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-SEO-SEO,11
SEA_Google_M-SEA_Google_M-SEA_Google_M-SEA_Google_M-SEA_Google_M-SEA_Google_M-SEA_Google_M,11
SEO-REFERRAL,11
AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus,11
SEA_Bing_M-SEA_Bing_M,11
SEO-DIRECT_ACCESS-SEO,10
SEO-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-SEO-SEO,10
SEO-SEO-SEO-SEO-SEO-SEO-SEO-SEO,10
AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-SEO,10
SEO-SEO-SEO-SEO-SEO-SEO-SEO-SEO-SEO-SEO,10
SEO-AD_EXCHANGE_appnexus-SEO-SEO-SEO,10
email_auto-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS,10
AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus,10
AFFILIATION-AFFILIATION-AFFILIATION,10
DIRECT_ACCESS-AFFILIATION,9
email_auto-DIRECT_ACCESS-email_auto-email_auto,9
DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS,9
DIRECT_ACCESS-SEO-SEO-SEO,9
SEO-REFERRAL-REFERRAL,9
AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-SEO-SEO,9
SEO-SEO-DIRECT_ACCESS-DIRECT_ACCESS,9
AD_EXCHANGE_appnexus-SEO-SEO-SEO-SEO,9
REFERRAL-SEO,9
DIRECT_ACCESS-DIRECT_ACCESS-SEO-SEO,9
SEA_Google_HM-SEA_Google_HM,9
AFFILIATION-REFERRAL-REFERRAL-REFERRAL-REFERRAL-REFERRAL-REFERRAL-REFERRAL-REFERRAL-REFERRAL-REFERRAL,8
AFFILIATION-AFFILIATION-REFERRAL-REFERRAL-REFERRAL-REFERRAL-REFERRAL-REFERRAL-REFERRAL,8
email_auto-email_auto-email_auto-SEO,8
AFFILIATION-AFFILIATION-REFERRAL-REFERRAL-REFERRAL-REFERRAL-REFERRAL-REFERRAL,8
AFFILIATION-DIRECT_ACCESS,8
AFFILIATION-REFERRAL-REFERRAL-REFERRAL-REFERRAL-REFERRAL-REFERRAL-REFERRAL,8
DIRECT_ACCESS-AD_EXCHANGE_appnexus-DIRECT_ACCESS,8
DIRECT_ACCESS-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-DIRECT_ACCESS,8
SEO-SEO-SEO-DIRECT_ACCESS,8
AD_EXCHANGE_appnexus-DIRECT_ACCESS-DIRECT_ACCESS,8
AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-SEO-SEO,8
SEO-DIRECT_ACCESS-SEO-SEO,8
SEO-SEO-AD_EXCHANGE_appnexus-SEO-SEO,8
DIRECT_ACCESS-SEO-DIRECT_ACCESS-DIRECT_ACCESS,8
email_tactique-email_tactique,8
AFFILIATION-AFFILIATION-REFERRAL-REFERRAL-REFERRAL-REFERRAL-REFERRAL-REFERRAL-REFERRAL-REFERRAL-REFERRAL,7
email_auto-SEO-SEO,7
SEO-SEO-SEO-SEO-SEO-SEO-SEO-SEO-SEO-SEO-SEO,7
DIRECT_ACCESS-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus,7
SEO-SEO-SEO-SEO-SEO-SEO-SEO-SEO-SEO-SEO-SEO-SEO-SEO-SEO-SEO-SEO-SEO,7
SEO-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-SEO-SEO-SEO,7
SEA_Google_M-SEA_Google_M-SEA_Google_M-SEA_Google_M-SEA_Google_M-SEA_Google_M-SEA_Google_M-SEA_Google_M,7
email_auto-email_auto-email_auto-email_auto-email_auto,7
AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus,7
SEO-AFFILIATION-AFFILIATION,7
email_auto-email_auto-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS,7
DIRECT_ACCESS-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-DIRECT_ACCESS,7
DIRECT_ACCESS-REFERRAL-REFERRAL,7
SEO-AFFILIATION-AFFILIATION-REFERRAL-REFERRAL-REFERRAL-REFERRAL-REFERRAL-REFERRAL-REFERRAL-REFERRAL-REFERRAL,6
email_auto-email_auto-DIRECT_ACCESS-email_auto-email_auto,6
REFERRAL-REFERRAL-SEO,6
email_auto-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS,6
AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-DIRECT_ACCESS,6
DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS,6
AFFILIATION-SEO,6
SEO-SEO-DIRECT_ACCESS-SEO,6
DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-SEO,6
DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS,6
AFFILIATION-AFFILIATION-REFERRAL-REFERRAL-REFERRAL-REFERRAL-REFERRAL,6
SEO-AD_EXCHANGE_appnexus-DIRECT_ACCESS,6
email_auto-email_auto-email_auto-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS,6
SEO-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-SEO,6
email_auto-email_auto-email_auto-email_auto-email_auto-email_auto-email_auto,6
SEO-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-SEO-SEO,6
SOCIAL,6
AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-SEO-SEO-SEO,6
SEO-email_auto-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS,6
AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-SEO,6
SEO-email_auto-email_auto,6
AD_EXCHANGE_appnexus-SEO-SEO-SEO-SEO-SEO,6
AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-SEO-SEO-SEO,6
SEO-SEO-SEO-AD_EXCHANGE_appnexus-SEO,6
SEO-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-SEO-SEO,6
SEO-email_auto,6
SEO-SEO-SEO-SEO-SEO-SEO-SEO-SEO-SEO-SEO-SEO-SEO,6
DIRECT_ACCESS-AD_EXCHANGE_appnexus,6
AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus,6
AD_EXCHANGE_appnexus-DIRECT_ACCESS-AD_EXCHANGE_appnexus,6
AFFILIATION-REFERRAL-REFERRAL-REFERRAL-REFERRAL,5
DIRECT_ACCESS-AD_EXCHANGE_appnexus-SEO,5
